Crop Type,Nitrogen (N),Phosphorus (P),Potassium (K),Soil pH,Soil Type,Target Fertilizer
Cotton,66,21,45,6.4,Clayey,NPK 10-26-26
Maize,75,37,29,7.4,Silty,NPK 10-26-26
Maize,59,32,34,6.4,Loamy,NPK 10-26-26
Sugarcane,83,56,89,5.2,Loamy,DAP
Wheat,27,25,29,8.1,Loamy,NPK 10-26-26
Rice,42,20,29,7.9,Loamy,NPK 10-26-26
Rice,49,22,11,7.8,Silty,Urea
Wheat,43,20,13,5.2,Silty,NPK 15-15-15
Sugarcane,85,46,72,8.1,Loamy,DAP
Rice,48,22,24,8.4,Silty,NPK 10-26-26
Wheat,48,22,28,7.1,Loamy,NPK 10-26-26
Rice,41,39,19,6.5,Loamy,DAP
Cotton,51,21,41,4.8,Clayey,NPK 10-26-26
Sugarcane,87,54,63,6.8,Clayey,DAP
Maize,50,34,28,6.3,Sandy,NPK 10-26-26
Sugarcane,83,54,96,5.4,Clayey,DAP
Wheat,43,15,27,6.2,Clayey,NPK 15-15-15
Maize,64,30,23,7.8,Loamy,NPK 10-26-26
Sugarcane,100,48,92,6.8,Sandy,DAP
Maize,60,41,31,7.0,Sandy,NPK 10-26-26
Cotton,57,31,37,6.5,Clayey,NPK 10-26-26
Wheat,31,37,13,7.9,Silty,DAP
Wheat,40,40,12,7.2,Loamy,DAP
Wheat,20,18,14,7.7,Clayey,NPK 15-15-15
Wheat,35,30,27,6.7,Clayey,NPK 10-26-26
Sugarcane,87,41,69,8.3,Loamy,NPK 10-26-26
Cotton,43,26,35,5.1,Loamy,NPK 10-26-26
Cotton,68,31,50,7.8,Sandy,NPK 10-26-26
Maize,67,48,28,6.3,Loamy,DAP
Rice,43,29,16,4.8,Loamy,NPK 15-15-15
Cotton,70,23,32,5.0,Sandy,NPK 10-26-26
Wheat,27,13,14,7.9,Loamy,NPK 15-15-15
Sugarcane,112,45,91,7.8,Silty,DAP
Cotton,47,33,48,7.6,Loamy,NPK 10-26-26
Sugarcane,108,58,61,6.0,Loamy,DAP
Sugarcane,102,46,98,7.9,Silty,DAP
Wheat,36,17,29,5.3,Loamy,NPK 15-15-15
Rice,34,24,10,7.7,Clayey,NPK 20-20-0
Sugarcane,82,54,87,6.5,Clayey,DAP
Cotton,60,20,49,5.6,Clayey,NPK 10-26-26
Rice,46,20,12,7.6,Sandy,Urea
Maize,55,39,36,7.6,Sandy,NPK 10-26-26
Sugarcane,84,46,76,6.3,Loamy,DAP
Wheat,21,26,18,5.3,Sandy,NPK 10-26-26
Maize,57,39,23,7.9,Sandy,NPK 10-26-26
Maize,75,34,20,8.1,Clayey,NPK 10-26-26
Cotton,60,24,40,7.2,Silty,NPK 10-26-26
Cotton,68,26,38,6.8,Silty,NPK 10-26-26
Cotton,58,36,35,5.5,Silty,NPK 10-26-26
Maize,56,39,32,8.4,Silty,NPK 10-26-26
Maize,54,40,24,7.7,Sandy,NPK 10-26-26
Wheat,21,32,28,5.5,Clayey,NPK 10-26-26
Rice,60,26,14,7.9,Sandy,Urea
Rice,52,27,12,6.4,Loamy,Urea
Maize,70,46,39,5.9,Loamy,DAP
Wheat,27,11,28,4.7,Clayey,NPK 15-15-15
Wheat,26,25,10,5.0,Sandy,NPK 20-20-0
Maize,78,47,21,4.9,Loamy,DAP
Maize,66,41,36,5.5,Clayey,NPK 10-26-26
Rice,60,25,20,7.7,Loamy,NPK 10-26-26
Wheat,41,15,21,7.7,Clayey,NPK 15-15-15
Wheat,39,34,16,4.8,Loamy,NPK 15-15-15
Rice,41,36,21,5.9,Silty,NPK 10-26-26
Maize,69,36,28,8.2,Loamy,NPK 10-26-26
Wheat,34,39,21,4.8,Silty,NPK 10-26-26
Maize,73,31,28,5.5,Loamy,NPK 10-26-26
Maize,60,33,23,6.7,Silty,NPK 10-26-26
Sugarcane,90,50,98,7.7,Loamy,DAP
Wheat,33,27,21,5.2,Clayey,NPK 10-26-26
Sugarcane,96,46,86,6.7,Sandy,DAP
Rice,57,27,15,7.3,Silty,Urea
Wheat,20,31,28,8.0,Clayey,NPK 10-26-26
Wheat,26,13,13,7.3,Clayey,NPK 15-15-15
Sugarcane,108,52,69,5.6,Silty,DAP
Cotton,49,33,35,7.7,Silty,NPK 10-26-26
Rice,34,29,12,6.3,Sandy,NPK 20-20-0
Maize,61,42,23,4.9,Silty,DAP
Rice,43,34,13,6.7,Silty,NPK 15-15-15
Sugarcane,110,57,72,6.8,Sandy,DAP
Maize,64,50,26,8.4,Loamy,DAP
Maize,54,34,21,8.3,Clayey,NPK 10-26-26
Sugarcane,110,59,61,8.1,Silty,DAP
Cotton,53,32,38,8.0,Clayey,NPK 10-26-26
Maize,79,41,20,5.5,Clayey,DAP
Sugarcane,88,43,69,5.9,Silty,NPK 10-26-26
Sugarcane,95,45,94,6.5,Clayey,DAP
Wheat,28,34,23,6.9,Sandy,NPK 10-26-26
Sugarcane,90,60,80,5.1,Clayey,DAP
Rice,58,26,21,6.1,Loamy,NPK 10-26-26
Cotton,40,28,30,5.5,Loamy,NPK 10-26-26
Sugarcane,116,59,65,8.3,Sandy,DAP
Rice,42,22,14,8.2,Clayey,NPK 15-15-15
Rice,30,27,26,5.0,Clayey,NPK 10-26-26
Cotton,57,36,35,8.4,Silty,NPK 10-26-26
Cotton,65,38,39,5.4,Loamy,NPK 10-26-26
Maize,66,41,25,5.5,Silty,NPK 10-26-26
Cotton,56,22,50,7.1,Loamy,NPK 10-26-26
Cotton,49,26,49,8.1,Sandy,NPK 10-26-26
Rice,52,26,20,6.4,Clayey,NPK 10-26-26
Cotton,47,37,30,6.4,Silty,NPK 10-26-26
Maize,69,31,20,6.1,Sandy,NPK 10-26-26
Rice,44,33,11,6.3,Clayey,Urea
Cotton,70,31,49,8.0,Silty,NPK 10-26-26
Sugarcane,95,54,87,4.7,Sandy,DAP
Wheat,44,18,27,5.8,Loamy,NPK 10-26-26
Rice,39,37,27,7.2,Clayey,NPK 10-26-26
Wheat,42,18,10,7.9,Clayey,Urea
Sugarcane,93,46,91,5.2,Sandy,DAP
Maize,69,43,34,6.0,Sandy,NPK 10-26-26
Maize,51,32,23,8.0,Silty,NPK 10-26-26
Sugarcane,89,55,86,8.1,Loamy,DAP
Rice,39,31,27,6.8,Clayey,NPK 10-26-26
Cotton,62,38,40,8.1,Loamy,NPK 10-26-26
Sugarcane,111,43,71,6.2,Silty,NPK 10-26-26
Rice,32,40,10,6.6,Loamy,DAP
Rice,50,33,27,5.3,Sandy,NPK 10-26-26
Cotton,69,37,32,5.1,Silty,NPK 10-26-26
Sugarcane,89,46,71,7.7,Loamy,DAP
Rice,38,35,16,5.1,Sandy,NPK 15-15-15
Wheat,37,20,28,7.6,Sandy,NPK 10-26-26
Sugarcane,82,46,69,7.9,Silty,DAP
Sugarcane,96,54,99,7.1,Sandy,DAP
Cotton,63,36,41,8.1,Loamy,NPK 10-26-26
Wheat,35,17,19,6.2,Loamy,NPK 15-15-15
Cotton,51,27,31,8.1,Silty,NPK 10-26-26
Wheat,35,31,22,6.7,Silty,NPK 10-26-26
Rice,41,26,28,6.8,Clayey,NPK 10-26-26
Wheat,28,30,12,6.4,Clayey,NPK 20-20-0
Sugarcane,119,50,77,5.4,Sandy,DAP
Cotton,60,39,45,8.2,Loamy,NPK 10-26-26
Sugarcane,112,58,73,8.4,Silty,DAP
Wheat,23,40,30,5.8,Loamy,NPK 10-26-26
Rice,40,28,12,6.7,Silty,NPK 20-20-0
Wheat,48,40,17,4.5,Loamy,DAP
Maize,76,47,34,7.8,Clayey,DAP
Cotton,67,37,38,7.5,Silty,NPK 10-26-26
Sugarcane,80,56,98,7.7,Silty,DAP
Cotton,46,38,38,6.0,Sandy,NPK 10-26-26
Wheat,23,37,11,5.4,Silty,DAP
Cotton,63,22,34,8.5,Clayey,NPK 10-26-26
Rice,47,38,20,6.0,Silty,NPK 10-26-26
Sugarcane,103,50,95,5.6,Clayey,DAP
Wheat,36,18,29,5.9,Clayey,NPK 10-26-26
Cotton,53,32,35,7.1,Loamy,NPK 10-26-26
Cotton,45,36,35,8.0,Clayey,NPK 10-26-26
Wheat,49,15,26,4.7,Sandy,Urea
Cotton,50,23,39,7.7,Sandy,NPK 10-26-26
Maize,59,30,23,5.1,Clayey,NPK 10-26-26
Maize,60,34,26,5.2,Loamy,NPK 10-26-26
Rice,31,30,30,6.9,Silty,NPK 10-26-26
Wheat,36,16,20,5.9,Loamy,NPK 15-15-15
Sugarcane,108,47,98,8.2,Clayey,DAP
Wheat,22,28,24,7.2,Sandy,NPK 10-26-26
Maize,69,39,35,4.5,Sandy,NPK 10-26-26
Rice,54,40,13,7.1,Sandy,DAP
Sugarcane,96,46,100,7.9,Clayey,DAP
Cotton,59,24,37,6.3,Clayey,NPK 10-26-26
Maize,76,48,27,8.5,Silty,DAP
Cotton,63,20,31,4.7,Sandy,NPK 10-26-26
Sugarcane,95,49,78,7.2,Clayey,DAP
Cotton,44,34,32,6.4,Sandy,NPK 10-26-26
Maize,61,33,25,6.0,Silty,NPK 10-26-26
Cotton,66,40,43,6.2,Sandy,NPK 10-26-26
Cotton,53,24,37,7.5,Silty,NPK 10-26-26
Sugarcane,109,41,76,5.0,Clayey,NPK 10-26-26
Cotton,58,33,31,5.0,Loamy,NPK 10-26-26
Rice,60,39,18,6.4,Sandy,DAP
Wheat,50,11,15,5.8,Sandy,Urea
Cotton,59,40,47,5.0,Clayey,NPK 10-26-26
Maize,79,46,31,8.2,Loamy,DAP
Cotton,64,38,38,8.1,Silty,NPK 10-26-26
Cotton,64,29,41,8.1,Silty,NPK 10-26-26
Sugarcane,96,53,65,7.1,Clayey,DAP
Sugarcane,83,42,84,7.7,Loamy,NPK 10-26-26
Maize,53,48,24,5.4,Sandy,DAP
Wheat,43,12,24,5.0,Silty,Urea
Wheat,37,23,20,5.6,Sandy,NPK 15-15-15
Rice,59,20,26,7.0,Loamy,NPK 10-26-26
Wheat,33,32,13,5.2,Sandy,NPK 15-15-15
Maize,52,35,30,7.4,Sandy,NPK 10-26-26
Wheat,49,28,16,8.4,Silty,Urea
Sugarcane,118,42,62,6.5,Silty,NPK 10-26-26
Maize,68,33,31,4.9,Clayey,NPK 10-26-26
Cotton,50,27,46,8.3,Loamy,NPK 10-26-26
Rice,33,21,14,5.5,Loamy,NPK 15-15-15
Wheat,22,26,26,5.8,Silty,NPK 10-26-26
Rice,47,27,17,7.7,Loamy,Urea
Maize,76,32,21,5.5,Loamy,NPK 10-26-26
Rice,30,28,15,7.8,Loamy,NPK 15-15-15
Wheat,34,11,22,6.6,Silty,NPK 15-15-15
Wheat,32,22,27,5.3,Clayey,NPK 10-26-26
Rice,49,28,13,5.5,Silty,Urea
Maize,61,48,34,7.7,Sandy,DAP
Maize,69,49,26,4.6,Silty,DAP
Cotton,47,31,33,8.0,Silty,NPK 10-26-26
Rice,35,24,11,5.7,Clayey,NPK 20-20-0
Maize,50,34,33,7.1,Sandy,NPK 10-26-26
Maize,58,48,39,7.6,Silty,DAP
Maize,59,32,28,7.8,Loamy,NPK 10-26-26
Wheat,29,28,21,5.4,Loamy,NPK 10-26-26
Maize,75,46,26,5.3,Clayey,DAP
Rice,40,21,14,7.3,Silty,NPK 15-15-15
Cotton,67,35,48,8.1,Silty,NPK 10-26-26
Cotton,48,20,33,4.5,Clayey,NPK 10-26-26
Cotton,40,26,44,4.9,Sandy,NPK 10-26-26
Sugarcane,85,56,87,8.0,Clayey,DAP
Maize,52,44,30,8.3,Clayey,NPK 10-26-26
Maize,65,50,30,4.7,Sandy,DAP
Cotton,61,36,40,8.5,Sandy,NPK 10-26-26
Wheat,25,36,13,7.8,Clayey,DAP
Cotton,59,27,45,5.8,Clayey,NPK 10-26-26
Maize,69,50,27,8.0,Sandy,DAP
Maize,66,49,24,7.8,Silty,DAP
Sugarcane,96,53,83,7.0,Silty,DAP
Cotton,55,22,36,8.4,Silty,NPK 10-26-26
Cotton,52,30,50,7.9,Clayey,NPK 10-26-26
Cotton,41,36,44,7.3,Loamy,NPK 10-26-26
Maize,51,47,36,5.7,Clayey,DAP
Wheat,33,13,25,8.1,Loamy,NPK 15-15-15
Cotton,44,37,31,5.3,Sandy,NPK 10-26-26
Cotton,56,33,34,6.0,Silty,NPK 10-26-26
Maize,51,34,37,8.3,Sandy,NPK 10-26-26
Cotton,65,24,40,6.9,Sandy,NPK 10-26-26
Sugarcane,89,54,85,8.3,Loamy,DAP
Wheat,34,26,23,5.6,Clayey,NPK 10-26-26
Wheat,36,20,16,5.4,Clayey,NPK 15-15-15
Cotton,46,33,44,6.6,Clayey,NPK 10-26-26
Sugarcane,88,50,70,5.6,Loamy,DAP
Rice,35,32,17,7.4,Loamy,NPK 15-15-15
Wheat,36,35,25,4.7,Clayey,NPK 10-26-26
Maize,57,50,20,7.9,Silty,DAP
Cotton,54,21,44,6.4,Silty,NPK 10-26-26
Sugarcane,80,56,90,8.4,Sandy,DAP
Wheat,24,40,16,8.4,Clayey,DAP
Wheat,25,31,14,8.2,Clayey,NPK 15-15-15
Sugarcane,86,56,63,8.1,Silty,DAP
Cotton,62,37,46,5.3,Silty,NPK 10-26-26
Cotton,69,36,32,4.6,Clayey,NPK 10-26-26
Rice,33,27,28,7.9,Loamy,NPK 10-26-26
Cotton,52,32,31,8.1,Loamy,NPK 10-26-26
Cotton,58,32,38,8.0,Clayey,NPK 10-26-26
Rice,39,38,25,5.9,Sandy,NPK 10-26-26
Maize,78,32,26,5.3,Clayey,NPK 10-26-26
Cotton,43,36,44,7.8,Sandy,NPK 10-26-26
Cotton,42,35,49,8.1,Loamy,NPK 10-26-26
Rice,40,36,13,7.6,Silty,DAP
Sugarcane,120,58,61,8.4,Silty,DAP
Sugarcane,90,48,71,5.1,Clayey,DAP
Cotton,58,36,39,4.7,Loamy,NPK 10-26-26
Maize,55,47,32,5.4,Sandy,DAP
Cotton,61,28,42,6.7,Silty,NPK 10-26-26
Cotton,47,22,50,4.9,Clayey,NPK 10-26-26
Rice,51,25,28,4.7,Sandy,NPK 10-26-26
Sugarcane,118,41,93,6.2,Silty,NPK 10-26-26
Cotton,69,33,36,7.9,Sandy,NPK 10-26-26
Wheat,49,35,18,7.9,Sandy,Urea
Maize,76,32,25,6.3,Silty,NPK 10-26-26
Rice,45,27,23,5.9,Sandy,NPK 10-26-26
Rice,53,26,26,6.3,Clayey,NPK 10-26-26
Wheat,32,30,25,4.5,Loamy,NPK 10-26-26
Cotton,52,26,40,8.5,Loamy,NPK 10-26-26
Sugarcane,93,47,82,8.2,Clayey,DAP
Maize,67,36,28,8.0,Clayey,NPK 10-26-26
Wheat,48,23,29,6.9,Clayey,NPK 10-26-26
Sugarcane,111,42,75,5.0,Clayey,NPK 10-26-26
Rice,53,32,23,8.4,Sandy,NPK 10-26-26
Wheat,22,14,16,6.5,Loamy,NPK 15-15-15
Rice,46,28,16,7.0,Loamy,Urea
Cotton,63,23,47,7.2,Sandy,NPK 10-26-26
Wheat,42,38,14,8.0,Sandy,DAP
Wheat,37,21,30,5.2,Silty,NPK 10-26-26
Sugarcane,81,49,93,8.4,Silty,DAP
Wheat,31,22,29,4.6,Clayey,NPK 10-26-26
Cotton,64,37,38,6.5,Sandy,NPK 10-26-26
Sugarcane,116,53,95,6.2,Sandy,DAP
Rice,43,39,10,7.8,Clayey,DAP
Wheat,40,30,16,5.5,Sandy,NPK 15-15-15
Maize,72,38,29,4.8,Clayey,NPK 10-26-26
Wheat,36,15,14,4.8,Sandy,NPK 15-15-15
Cotton,40,23,31,8.1,Clayey,NPK 10-26-26
Wheat,45,27,29,5.7,Sandy,NPK 10-26-26
Wheat,49,14,14,7.4,Clayey,Urea
Sugarcane,112,49,95,5.4,Loamy,DAP
Sugarcane,100,46,69,6.0,Sandy,DAP
Rice,41,26,24,4.9,Sandy,NPK 10-26-26
Maize,69,45,20,7.4,Sandy,DAP
Rice,30,39,30,7.8,Clayey,NPK 10-26-26
Wheat,34,30,24,6.7,Sandy,NPK 10-26-26
Sugarcane,118,48,85,6.4,Clayey,DAP
Cotton,47,35,34,8.2,Clayey,NPK 10-26-26
Rice,58,36,12,5.9,Loamy,Urea
Rice,58,30,22,8.2,Loamy,NPK 10-26-26
Maize,54,31,25,7.9,Silty,NPK 10-26-26
Rice,33,36,27,6.8,Sandy,NPK 10-26-26
Maize,69,44,24,8.0,Silty,DAP
Sugarcane,109,53,79,7.0,Clayey,DAP
Cotton,49,40,47,8.0,Silty,NPK 10-26-26
Sugarcane,101,50,98,4.7,Clayey,DAP
Maize,58,45,22,7.4,Silty,DAP
Sugarcane,120,42,87,8.0,Sandy,NPK 10-26-26
Cotton,56,23,34,8.4,Loamy,NPK 10-26-26
Cotton,61,26,42,4.7,Silty,NPK 10-26-26
Sugarcane,115,50,72,6.9,Silty,DAP
Wheat,50,25,16,5.4,Loamy,Urea
Rice,43,27,11,6.5,Silty,Urea
Cotton,43,32,43,5.6,Clayey,NPK 10-26-26
Rice,40,35,29,8.5,Silty,NPK 10-26-26
Maize,80,33,28,6.2,Loamy,NPK 10-26-26
Sugarcane,95,59,89,4.6,Clayey,DAP
Cotton,52,27,44,8.0,Clayey,NPK 10-26-26
Maize,62,34,25,8.3,Sandy,NPK 10-26-26
Sugarcane,97,51,95,7.1,Clayey,DAP
Rice,30,40,16,7.3,Sandy,DAP
Maize,60,31,34,4.8,Clayey,NPK 10-26-26
Sugarcane,80,40,76,6.4,Loamy,NPK 10-26-26
Wheat,42,34,14,5.0,Silty,NPK 15-15-15
Maize,66,43,30,4.6,Silty,NPK 10-26-26
Cotton,61,29,42,6.2,Silty,NPK 10-26-26
Rice,53,35,14,7.8,Loamy,Urea
Wheat,37,25,18,6.8,Sandy,NPK 15-15-15
Cotton,46,24,46,5.4,Silty,NPK 10-26-26
Sugarcane,84,41,76,7.0,Clayey,NPK 10-26-26
Sugarcane,94,49,61,6.2,Silty,DAP
Wheat,21,38,21,6.5,Silty,NPK 10-26-26
Cotton,48,29,42,6.3,Silty,NPK 10-26-26
Cotton,55,32,32,8.1,Loamy,NPK 10-26-26
Cotton,44,38,40,8.2,Silty,NPK 10-26-26
Wheat,44,32,19,5.3,Sandy,NPK 10-26-26
Sugarcane,104,48,99,8.3,Clayey,DAP
Rice,59,23,21,5.4,Sandy,Urea
Cotton,52,34,46,8.1,Clayey,NPK 10-26-26
Cotton,41,29,47,7.8,Silty,NPK 10-26-26
Cotton,49,28,43,8.5,Loamy,NPK 10-26-26
Cotton,52,40,32,5.3,Clayey,NPK 10-26-26
Cotton,70,34,32,6.5,Silty,NPK 10-26-26
Cotton,48,34,39,8.4,Loamy,NPK 10-26-26
Sugarcane,105,59,66,8.2,Loamy,DAP
Wheat,30,35,25,8.4,Silty,NPK 10-26-26
Sugarcane,119,41,68,5.0,Loamy,NPK 10-26-26
Rice,59,38,26,8.1,Silty,NPK 10-26-26
Cotton,52,30,35,7.9,Clayey,NPK 10-26-26
Maize,75,43,27,7.9,Loamy,NPK 10-26-26
Sugarcane,117,45,99,5.4,Loamy,DAP
Cotton,66,32,44,7.5,Clayey,NPK 10-26-26
Cotton,48,32,31,8.1,Silty,NPK 10-26-26
Wheat,26,16,24,7.9,Clayey,NPK 15-15-15
Cotton,69,23,44,8.0,Loamy,NPK 10-26-26
Wheat,41,37,17,6.6,Silty,DAP
Sugarcane,116,52,72,6.6,Sandy,DAP
Wheat,44,15,15,5.1,Sandy,NPK 15-15-15
Maize,62,42,21,5.9,Clayey,DAP
Wheat,50,19,13,8.3,Clayey,Urea
Wheat,25,16,29,5.2,Sandy,NPK 15-15-15
Maize,69,44,22,5.5,Sandy,DAP
Sugarcane,90,57,60,8.0,Sandy,DAP
Sugarcane,120,55,71,7.2,Clayey,DAP
Wheat,34,31,27,6.2,Clayey,NPK 10-26-26
Cotton,57,24,48,8.5,Clayey,NPK 10-26-26
Sugarcane,82,48,75,7.1,Silty,DAP
Maize,51,43,36,7.4,Sandy,NPK 10-26-26
Sugarcane,115,58,85,7.6,Loamy,DAP
Cotton,66,39,34,5.5,Loamy,NPK 10-26-26
Wheat,30,13,26,6.2,Loamy,NPK 15-15-15
Rice,36,30,26,6.2,Sandy,NPK 10-26-26
Cotton,68,21,33,5.6,Clayey,NPK 10-26-26
Sugarcane,98,59,87,7.8,Loamy,DAP
Maize,56,30,38,6.4,Loamy,NPK 10-26-26
Rice,44,39,27,7.3,Clayey,NPK 10-26-26
Sugarcane,86,57,76,5.8,Silty,DAP
Wheat,43,26,18,8.4,Loamy,NPK 10-26-26
Sugarcane,105,52,67,7.9,Loamy,DAP
Wheat,39,31,24,5.5,Sandy,NPK 10-26-26
Wheat,34,18,25,6.5,Silty,NPK 15-15-15
Rice,55,37,24,5.9,Loamy,NPK 10-26-26
Maize,60,50,33,7.2,Sandy,DAP
Sugarcane,90,52,64,6.0,Silty,DAP
Rice,46,35,30,6.1,Silty,NPK 10-26-26
Sugarcane,89,40,71,5.0,Loamy,NPK 10-26-26
Sugarcane,101,47,72,8.4,Clayey,DAP
Wheat,34,15,18,8.4,Sandy,NPK 15-15-15
Maize,73,32,33,5.0,Clayey,NPK 10-26-26
Sugarcane,83,46,93,7.9,Sandy,DAP
Wheat,50,25,19,7.1,Clayey,Urea
Rice,57,36,18,5.8,Clayey,Urea
Wheat,26,19,15,7.1,Silty,NPK 15-15-15
Rice,30,21,27,4.6,Sandy,NPK 10-26-26
Rice,42,25,11,7.7,Sandy,NPK 20-20-0
Cotton,65,30,45,8.5,Silty,NPK 10-26-26
Maize,53,49,24,8.2,Clayey,DAP
Wheat,31,20,21,5.2,Sandy,NPK 15-15-15
Rice,35,25,29,7.7,Silty,NPK 10-26-26
Rice,52,34,13,5.4,Loamy,Urea
Maize,61,35,22,5.5,Sandy,NPK 10-26-26
Rice,37,31,29,7.9,Loamy,NPK 10-26-26
Wheat,22,22,16,6.6,Clayey,NPK 15-15-15
Wheat,38,16,21,7.7,Loamy,NPK 15-15-15
