Nitrogen (N),Phosphorus (P),Potassium (K),Carbon Emissions (kg),Water Pollution Risk (%),Soil Degradation (Index),Crop Type
16,21,31,3.27,16.7,4.0,Soybean
44,26,40,6.5,23.8,3.7,Soybean
44,24,9,5.78,18.0,2.8,Maize
44,24,23,6.06,24.0,3.8,Soybean
45,12,39,5.88,24.7,3.2,Wheat
26,14,35,4.0,17.8,1.6,Rice
16,16,23,2.86,17.1,3.4,Wheat
39,12,22,4.94,23.9,1.4,Maize
25,17,33,4.01,12.4,2.4,Cotton
40,18,10,5.1,20.8,1.5,Rice
48,8,11,5.42,16.9,3.2,Cotton
21,10,36,3.32,11.3,1.6,Wheat
37,25,11,5.17,23.6,4.3,Rice
46,24,33,6.46,23.8,1.2,Cotton
35,8,38,4.66,14.0,4.5,Rice
45,5,27,5.29,24.3,3.8,Rice
18,18,29,3.28,17.0,2.0,Soybean
24,16,23,3.66,19.5,1.5,Soybean
24,23,22,3.99,20.8,3.4,Wheat
34,6,33,4.36,20.0,4.6,Soybean
34,21,38,5.21,16.3,4.5,Cotton
43,28,19,6.08,23.6,4.3,Maize
36,21,25,5.15,23.0,4.2,Soybean
38,9,40,5.05,15.6,1.7,Maize
17,19,32,3.29,11.7,3.7,Wheat
11,14,15,2.1,10.5,4.9,Maize
13,29,26,3.27,12.8,1.7,Soybean
50,15,29,6.33,25.7,4.7,Wheat
29,10,28,3.96,11.9,4.5,Soybean
12,18,6,2.22,11.6,4.4,Soybean
23,22,40,4.2,21.2,4.6,Rice
34,19,9,4.53,18.3,2.5,Soybean
39,25,7,5.29,24.2,4.1,Cotton
33,18,14,4.48,21.9,1.9,Rice
21,30,27,4.14,19.9,3.2,Cotton
39,22,15,5.3,24.6,4.2,Rice
49,15,29,6.23,17.9,1.3,Cotton
21,9,17,2.89,14.2,4.4,Cotton
14,17,5,2.35,16.7,1.4,Maize
10,30,9,2.68,15.2,1.4,Wheat
34,19,10,4.55,16.2,4.5,Soybean
28,27,37,4.89,22.1,3.2,Wheat
35,18,31,5.02,23.0,3.8,Soybean
34,27,10,4.95,22.6,1.2,Maize
24,6,23,3.16,20.3,1.5,Maize
32,25,17,4.79,14.6,2.4,Wheat
22,9,5,2.75,16.8,2.5,Soybean
27,21,18,4.11,21.7,3.7,Wheat
47,20,40,6.5,19.6,3.3,Wheat
26,22,36,4.42,21.9,3.9,Rice
21,8,7,2.64,14.4,3.1,Wheat
47,13,22,5.79,17.1,3.3,Soybean
39,13,8,4.71,20.1,4.9,Wheat
16,10,27,2.64,12.9,4.5,Maize
23,30,21,4.22,21.1,3.2,Cotton
31,19,23,4.51,15.0,1.0,Cotton
23,8,6,2.82,18.2,3.6,Maize
35,6,26,4.32,19.4,1.1,Rice
38,5,15,4.35,14.4,2.7,Soybean
10,11,17,1.89,16.5,2.1,Maize
34,13,28,4.61,19.8,2.8,Wheat
46,5,22,5.29,20.7,3.2,Wheat
13,16,36,2.82,10.9,5.0,Cotton
30,29,18,4.81,16.4,4.1,Wheat
13,11,10,2.05,17.0,4.9,Cotton
37,14,5,4.5,16.9,2.4,Cotton
26,7,38,3.71,18.6,4.7,Maize
45,23,20,6.05,26.3,4.3,Maize
24,14,35,3.8,17.3,2.3,Maize
19,25,21,3.57,12.1,1.4,Maize
38,15,11,4.77,18.8,2.1,Wheat
49,9,23,5.81,18.7,2.0,Wheat
24,7,40,3.55,15.4,1.1,Rice
49,29,8,6.51,22.3,1.9,Rice
15,15,25,2.75,16.6,1.2,Maize
50,19,28,6.51,21.3,4.4,Soybean
33,18,17,4.54,18.1,3.3,Soybean
33,17,17,4.49,17.8,4.4,Rice
32,11,24,4.23,20.8,2.9,Rice
31,18,9,4.18,20.7,3.3,Wheat
19,27,25,3.75,15.3,4.6,Wheat
12,22,7,2.44,18.7,3.5,Cotton
46,16,11,5.62,23.7,1.9,Soybean
28,29,24,4.73,17.9,2.0,Wheat
48,28,35,6.9,19.3,3.8,Rice
45,6,6,4.92,21.2,4.6,Wheat
33,27,32,5.29,20.8,2.7,Rice
23,26,30,4.2,17.9,4.0,Maize
19,8,20,2.7,17.4,4.8,Soybean
25,30,5,4.1,13.7,2.2,Rice
45,13,9,5.33,18.3,4.8,Soybean
41,11,28,5.21,18.7,1.2,Maize
16,24,7,2.94,18.9,1.7,Wheat
32,11,34,4.43,17.7,4.0,Maize
17,19,28,3.21,20.0,2.7,Rice
16,7,33,2.61,9.5,3.9,Wheat
38,19,11,4.97,17.5,3.5,Rice
36,15,5,4.45,14.5,3.5,Wheat
46,18,35,6.2,23.4,4.9,Wheat
17,28,34,3.78,14.8,4.6,Wheat
25,27,7,3.99,17.3,1.4,Maize
31,6,23,3.86,17.8,1.4,Cotton
28,30,16,4.62,17.0,1.5,Rice
13,25,18,2.91,14.0,2.6,Rice
49,24,24,6.58,26.3,1.5,Soybean
24,9,23,3.31,12.5,3.3,Wheat
47,19,10,5.85,22.0,4.6,Wheat
26,9,21,3.47,18.5,3.1,Maize
26,5,15,3.15,11.4,3.8,Wheat
38,26,16,5.42,18.8,1.2,Soybean
37,6,24,4.48,19.7,1.2,Wheat
40,24,9,5.38,15.7,4.1,Rice
23,16,26,3.62,20.7,1.2,Wheat
23,8,5,2.8,15.8,3.7,Rice
36,20,8,4.76,15.2,4.5,Wheat
34,21,33,5.11,22.8,3.2,Wheat
49,17,12,5.99,19.8,2.8,Rice
13,25,37,3.29,15.2,3.9,Maize
27,30,6,4.32,21.6,1.5,Maize
12,16,27,2.54,13.4,1.3,Cotton
46,21,28,6.21,22.9,1.8,Soybean
29,28,14,4.58,18.2,4.3,Rice
40,18,8,5.06,24.4,2.8,Soybean
30,30,39,5.28,23.2,4.7,Cotton
22,9,27,3.19,13.2,4.0,Cotton
13,7,8,1.81,9.1,2.6,Wheat
15,27,34,3.53,18.3,1.1,Maize
11,7,11,1.67,15.5,3.1,Soybean
43,6,17,4.94,21.9,4.2,Wheat
12,30,32,3.34,14.6,3.0,Rice
21,13,25,3.25,15.2,3.0,Rice
36,7,40,4.75,16.7,4.8,Rice
18,30,18,3.66,16.6,3.3,Soybean
34,5,11,3.87,13.0,2.2,Rice
26,19,37,4.29,17.4,3.8,Rice
27,22,19,4.18,17.2,2.1,Cotton
49,28,21,6.72,18.3,4.5,Rice
10,23,9,2.33,16.4,4.5,Cotton
47,15,6,5.57,17.2,3.1,Soybean
22,30,14,3.98,15.6,3.8,Rice
39,29,36,6.07,20.5,3.4,Wheat
19,14,27,3.14,20.0,3.2,Wheat
29,19,37,4.59,12.9,3.8,Soybean
22,10,16,3.02,14.3,2.4,Rice
42,13,19,5.23,16.9,4.3,Maize
17,18,14,2.88,14.1,2.2,Maize
27,23,5,3.95,16.6,5.0,Rice
46,24,6,5.92,21.6,1.5,Maize
46,18,16,5.82,25.6,1.5,Soybean
30,18,12,4.14,20.4,4.0,Maize
24,25,5,3.75,16.9,3.5,Wheat
25,5,30,3.35,19.4,1.5,Rice
39,14,14,4.88,17.6,3.8,Maize
12,17,26,2.57,17.6,4.2,Rice
49,28,37,7.04,22.4,1.2,Wheat
46,22,16,6.02,24.6,1.0,Maize
39,8,38,5.06,19.4,3.6,Cotton
38,15,37,5.29,14.3,1.0,Maize
45,21,17,5.89,16.3,2.1,Rice
19,17,15,3.05,14.2,2.3,Wheat
42,16,11,5.22,19.2,1.0,Soybean
26,28,13,4.26,18.6,1.7,Maize
24,13,39,3.83,13.9,3.0,Soybean
36,15,13,4.61,17.8,2.8,Soybean
30,7,12,3.59,19.7,3.6,Cotton
37,16,36,5.22,22.6,4.8,Maize
16,16,14,2.68,16.4,1.2,Wheat
16,26,25,3.4,11.2,1.7,Maize
45,27,21,6.27,17.5,3.9,Maize
23,23,19,3.83,20.2,2.9,Wheat
20,14,26,3.22,17.6,4.7,Wheat
10,23,18,2.51,13.5,3.1,Maize
17,30,17,3.54,16.8,3.0,Cotton
11,6,30,2.0,16.1,3.3,Wheat
16,10,13,2.36,19.1,4.3,Soybean
10,27,10,2.55,13.0,3.2,Rice
23,6,33,3.26,10.9,3.9,Cotton
30,6,33,3.96,16.8,2.3,Cotton
25,28,35,4.6,18.2,3.5,Wheat
20,11,31,3.17,13.3,3.4,Rice
39,9,38,5.11,14.1,1.6,Maize
35,21,25,5.05,14.7,4.7,Soybean
48,17,21,6.07,25.0,1.9,Maize
49,7,27,5.79,23.3,4.2,Soybean
13,13,31,2.57,15.3,1.1,Cotton
21,9,11,2.77,12.1,2.1,Wheat
17,22,25,3.3,19.4,3.9,Rice
16,20,26,3.12,20.2,3.8,Soybean
34,11,25,4.45,13.0,1.5,Cotton
39,24,27,5.64,16.8,2.0,Wheat
12,19,38,2.91,18.3,4.2,Wheat
49,16,34,6.38,21.4,3.2,Soybean
38,27,10,5.35,16.4,4.9,Cotton
14,11,20,2.35,9.3,1.2,Cotton
30,29,25,4.95,14.5,3.5,Wheat
44,14,15,5.4,17.1,2.8,Cotton
20,21,9,3.23,13.3,2.5,Cotton
26,17,27,3.99,15.0,1.6,Soybean
49,21,20,6.35,20.8,1.2,Wheat
49,24,39,6.88,20.2,2.1,Cotton
29,25,28,4.71,22.7,4.4,Cotton
16,7,16,2.27,10.0,1.8,Rice
27,5,5,3.05,19.0,3.7,Cotton
45,19,30,6.05,16.0,3.2,Wheat
41,5,20,4.75,19.4,3.2,Wheat
50,19,31,6.57,18.0,3.8,Soybean
41,13,38,5.51,15.5,1.8,Wheat
32,5,37,4.19,12.0,1.1,Rice
22,15,6,3.07,20.1,3.3,Maize
37,13,33,5.01,19.6,3.3,Cotton
10,30,29,3.08,19.7,4.5,Soybean
48,16,22,6.04,20.8,4.6,Rice
20,18,35,3.6,14.4,3.6,Rice
20,28,32,4.04,20.7,4.5,Wheat
16,14,30,2.9,14.0,2.7,Rice
25,12,17,3.44,17.0,3.6,Soybean
24,16,22,3.64,18.3,4.4,Rice
18,24,14,3.28,14.9,3.0,Cotton
37,8,7,4.24,17.1,1.3,Wheat
26,15,5,3.45,17.7,3.3,Wheat
32,21,7,4.39,20.3,2.2,Soybean
32,22,19,4.68,15.6,1.1,Maize
49,5,32,5.79,16.6,3.8,Wheat
44,11,37,5.69,15.2,4.4,Cotton
16,16,38,3.16,13.9,2.1,Maize
37,9,27,4.69,20.7,3.0,Cotton
33,25,34,5.23,14.5,2.9,Wheat
37,9,20,4.55,20.4,2.4,Cotton
33,12,19,4.28,13.1,3.2,Maize
25,13,11,3.37,21.3,3.7,Soybean
48,28,39,6.98,20.3,1.6,Maize
46,21,5,5.75,25.4,1.7,Maize
18,22,16,3.22,16.6,2.8,Soybean
48,22,7,6.04,21.3,2.6,Wheat
29,16,5,3.8,18.1,3.0,Soybean
46,20,8,5.76,22.9,4.0,Wheat
32,8,40,4.4,15.2,2.4,Maize
18,22,37,3.64,17.2,1.8,Maize
34,19,28,4.91,16.2,4.0,Soybean
28,10,12,3.54,20.4,2.5,Soybean
30,28,40,5.2,17.1,4.5,Soybean
10,28,34,3.08,18.4,3.6,Wheat
12,27,18,2.91,18.0,3.0,Maize
47,29,15,6.45,18.7,4.3,Soybean
12,29,22,3.09,17.2,2.2,Cotton
31,20,9,4.28,15.2,1.7,Rice
20,29,33,4.11,19.9,2.2,Maize
30,21,27,4.59,18.2,3.5,Rice
21,20,25,3.6,12.3,2.2,Wheat
12,29,40,3.45,15.7,1.9,Soybean
29,5,29,3.73,11.9,2.0,Maize
39,11,19,4.83,23.6,3.6,Cotton
25,8,38,3.66,17.8,3.9,Maize
12,21,28,2.81,18.5,2.9,Cotton
48,7,20,5.55,17.5,1.4,Cotton
45,24,19,6.08,20.4,4.8,Wheat
46,25,13,6.11,16.7,2.7,Wheat
23,17,6,3.27,19.7,4.3,Rice
18,11,16,2.67,14.0,1.2,Rice
50,12,38,6.36,20.9,4.0,Maize
12,13,7,1.99,15.3,2.7,Rice
48,28,34,6.88,17.8,3.3,Wheat
41,19,30,5.65,20.7,4.0,Soybean
26,9,15,3.35,18.2,1.6,Soybean
29,12,10,3.7,18.1,4.4,Cotton
24,21,7,3.59,13.4,3.5,Wheat
16,26,26,3.42,19.6,1.1,Cotton
10,9,39,2.23,15.3,3.4,Cotton
21,9,16,2.87,13.9,1.6,Soybean
30,19,23,4.41,14.7,1.9,Maize
22,26,13,3.76,19.6,4.7,Cotton
37,28,38,5.86,22.4,2.4,Wheat
36,10,26,4.62,14.1,2.4,Cotton
25,13,21,3.57,19.1,3.6,Wheat
27,18,11,3.82,18.0,2.3,Soybean
10,14,37,2.44,8.6,3.8,Rice
44,21,16,5.77,16.9,4.9,Soybean
11,17,22,2.39,12.2,4.9,Maize
20,23,13,3.41,12.2,3.6,Rice
31,24,10,4.5,19.4,1.4,Rice
34,9,7,3.99,21.8,1.1,Maize
31,23,16,4.57,23.3,1.3,Cotton
15,29,34,3.63,17.2,4.6,Cotton
20,27,10,3.55,15.5,4.9,Rice
27,24,38,4.66,13.5,1.0,Rice
36,17,15,4.75,20.3,2.2,Cotton
40,13,6,4.77,14.8,3.0,Cotton
28,30,38,5.06,19.7,4.2,Wheat
21,19,17,3.39,16.5,2.2,Wheat
26,22,8,3.86,14.8,4.9,Wheat
18,13,37,3.19,11.4,1.3,Rice
35,26,9,4.98,15.3,3.4,Rice
30,18,29,4.48,19.2,3.8,Cotton
29,24,13,4.36,21.6,2.9,Cotton
49,16,20,6.1,26.3,2.2,Maize
15,30,23,3.46,19.6,1.0,Wheat
23,19,22,3.69,19.7,1.6,Maize
36,17,7,4.59,22.7,4.2,Rice
50,22,8,6.26,18.5,3.8,Wheat
24,21,29,4.03,12.2,2.5,Soybean
25,23,14,3.93,13.7,3.5,Rice
49,26,25,6.7,19.2,2.0,Maize
46,30,12,6.34,26.5,3.1,Soybean
45,19,35,6.15,16.1,4.8,Soybean
25,29,32,4.59,17.6,3.1,Cotton
48,16,30,6.2,25.3,2.6,Rice
19,5,16,2.47,13.2,4.5,Rice
39,19,11,5.07,21.3,4.7,Cotton
26,23,27,4.29,21.2,4.8,Soybean
25,14,28,3.76,14.0,1.9,Wheat
32,6,37,4.24,14.3,1.9,Maize
45,14,23,5.66,22.4,4.1,Cotton
39,25,15,5.45,18.8,1.5,Cotton
12,25,36,3.17,18.3,3.8,Rice
47,18,21,6.02,23.0,2.4,Soybean
32,14,29,4.48,15.3,2.0,Wheat
49,17,19,6.13,24.7,1.7,Wheat
27,14,27,3.94,12.7,4.7,Wheat
16,11,39,2.93,17.5,4.6,Cotton
37,12,19,4.68,16.5,2.3,Maize
23,26,14,3.88,20.9,1.3,Maize
42,28,28,6.16,17.1,2.0,Soybean
21,11,30,3.25,20.0,1.1,Wheat
42,7,8,4.71,14.2,3.1,Wheat
38,19,29,5.33,19.9,2.8,Soybean
17,19,40,3.45,12.9,3.2,Maize
39,12,14,4.78,16.8,2.7,Rice
31,5,10,3.55,18.2,2.0,Maize
33,14,30,4.6,14.6,4.0,Maize
30,25,16,4.57,15.8,2.2,Cotton
35,29,27,5.49,15.1,2.0,Wheat
28,17,35,4.35,16.9,2.7,Rice
21,9,11,2.77,11.2,2.0,Cotton
40,21,27,5.59,21.9,3.7,Cotton
18,20,32,3.44,14.8,2.9,Cotton
41,30,18,5.96,23.8,2.0,Maize
18,7,33,2.81,17.7,4.4,Wheat
34,27,7,4.89,16.3,3.8,Maize
19,14,15,2.9,12.4,2.5,Rice
22,7,9,2.73,19.3,4.6,Maize
42,6,6,4.62,19.4,1.7,Rice
11,25,24,2.83,10.0,4.1,Wheat
18,9,33,2.91,15.6,3.7,Maize
31,14,39,4.58,18.5,1.8,Soybean
28,12,35,4.1,19.9,4.9,Wheat
47,28,18,6.46,24.7,1.8,Soybean
45,11,20,5.45,15.7,4.2,Cotton
11,20,14,2.38,17.7,1.7,Rice
39,18,31,5.42,20.7,4.9,Cotton
21,6,15,2.7,12.4,4.6,Wheat
46,20,37,6.34,22.2,2.9,Soybean
29,10,37,4.14,12.7,1.4,Soybean
44,7,26,5.27,21.5,4.6,Maize
39,5,30,4.75,14.6,3.3,Maize
21,8,11,2.72,13.2,3.8,Maize
25,18,13,3.66,16.7,4.4,Rice
24,28,33,4.46,13.5,1.9,Soybean
11,5,14,1.63,14.0,3.4,Rice
44,14,34,5.78,19.8,2.7,Cotton
13,14,32,2.64,12.2,1.1,Wheat
12,6,20,1.9,17.8,1.2,Wheat
19,7,22,2.69,10.0,2.2,Wheat
15,13,17,2.49,17.4,3.3,Wheat
43,16,20,5.5,23.6,3.3,Maize
24,16,20,3.6,16.0,3.0,Maize
20,20,20,3.4,12.3,4.3,Maize
13,22,38,3.16,18.1,1.5,Soybean
15,24,6,2.82,13.2,2.5,Cotton
47,12,36,6.02,16.2,1.8,Maize
10,15,10,1.95,9.3,3.2,Maize
49,29,35,7.05,26.5,3.9,Maize
48,19,35,6.45,24.3,2.9,Rice
44,6,11,4.92,18.7,1.6,Cotton
48,14,36,6.22,21.9,2.3,Soybean
33,12,12,4.14,18.4,2.9,Cotton
32,18,18,4.46,16.6,2.5,Soybean
42,14,14,5.18,20.8,2.5,Rice
27,10,22,3.64,17.7,1.5,Wheat
23,7,7,2.79,19.6,4.8,Maize
35,13,8,4.31,16.5,3.0,Cotton
45,29,19,6.33,25.6,2.1,Rice
11,21,32,2.79,12.4,2.6,Rice
32,20,14,4.48,17.7,1.2,Soybean
19,19,30,3.45,15.2,4.7,Rice
35,28,31,5.52,16.8,3.6,Maize
49,11,21,5.87,21.1,4.8,Rice
44,11,13,5.21,17.7,1.1,Rice
18,27,27,3.69,12.3,2.9,Maize
16,13,15,2.55,19.4,1.8,Rice
32,17,26,4.57,15.7,2.8,Soybean
31,13,13,4.01,16.7,4.5,Cotton
48,27,26,6.67,20.8,2.9,Maize
28,10,38,4.06,15.5,5.0,Cotton
36,15,25,4.85,20.7,1.8,Cotton
33,13,8,4.11,17.8,1.4,Soybean
15,24,23,3.16,14.3,5.0,Maize
43,7,23,5.11,22.9,3.6,Rice
36,7,38,4.71,19.2,4.5,Maize
29,10,24,3.88,14.1,2.2,Maize
35,16,22,4.74,14.8,5.0,Wheat
47,12,35,6.0,16.6,4.2,Wheat
47,27,14,6.33,24.5,2.6,Wheat
46,11,32,5.79,18.9,3.8,Soybean
27,18,7,3.74,12.5,4.4,Wheat
29,20,22,4.34,19.9,2.1,Maize
32,30,29,5.28,20.1,2.8,Cotton
43,27,25,6.15,20.5,2.7,Wheat
43,25,17,5.89,25.2,1.0,Cotton
20,8,29,2.98,15.4,3.7,Soybean
32,21,9,4.43,17.1,3.4,Wheat
29,21,22,4.39,13.5,4.6,Maize
11,29,29,3.13,12.9,3.6,Maize
35,26,39,5.58,23.9,2.0,Soybean
37,29,11,5.37,18.3,1.5,Cotton
19,11,37,3.19,18.2,1.4,Soybean
23,14,27,3.54,19.9,4.8,Maize
49,10,6,5.52,24.7,1.5,Wheat
35,21,40,5.35,20.7,4.8,Wheat
24,13,28,3.61,19.9,1.0,Wheat
43,11,23,5.31,21.5,3.1,Soybean
42,8,32,5.24,14.7,4.7,Cotton
12,26,21,2.92,19.7,4.4,Maize
30,20,7,4.14,15.0,2.3,Cotton
21,11,5,2.75,14.1,4.6,Soybean
16,16,18,2.76,13.6,3.5,Wheat
11,28,14,2.78,15.8,3.0,Rice
47,5,37,5.69,23.6,3.4,Soybean
32,9,35,4.35,19.9,3.5,Rice
14,18,35,3.0,13.5,2.2,Wheat
27,7,13,3.31,12.3,4.5,Maize
31,7,12,3.69,14.5,3.6,Maize
34,30,34,5.58,22.9,1.2,Cotton
33,7,12,3.89,19.4,2.4,Wheat
46,26,38,6.66,18.1,2.7,Maize
32,29,39,5.43,15.6,2.7,Wheat
20,14,37,3.44,19.8,3.7,Soybean
50,8,5,5.5,16.5,2.2,Cotton
44,9,29,5.43,16.1,2.2,Soybean
16,7,30,2.55,16.2,3.4,Cotton
34,14,27,4.64,14.1,4.5,Maize
38,17,8,4.81,21.2,2.8,Soybean
15,10,5,2.1,16.9,2.1,Maize
44,30,15,6.2,19.1,3.6,Rice
21,5,18,2.71,18.2,2.2,Cotton
11,23,8,2.41,15.7,4.7,Rice
21,5,9,2.53,16.5,4.0,Cotton
21,9,31,3.17,18.3,3.9,Maize
33,14,31,4.62,17.0,4.7,Soybean
46,7,13,5.21,18.4,3.4,Wheat
38,13,16,4.77,16.9,2.1,Wheat
18,18,26,3.22,13.0,4.4,Maize
30,13,17,3.99,14.5,2.0,Rice
22,24,33,4.06,12.5,4.6,Cotton
26,26,18,4.26,13.1,1.7,Soybean
37,18,14,4.88,17.5,2.7,Soybean
35,30,19,5.38,24.6,1.6,Soybean
41,30,28,6.16,17.8,4.7,Soybean
21,11,21,3.07,20.1,3.9,Wheat
46,9,12,5.29,18.1,3.2,Wheat
22,6,20,2.9,14.8,4.3,Maize
41,29,24,6.03,16.9,3.6,Soybean
35,25,15,5.05,14.6,1.1,Soybean
46,23,11,5.97,24.5,4.1,Wheat
11,25,12,2.59,10.2,2.0,Soybean
20,10,28,3.06,13.2,2.2,Soybean
21,29,11,3.77,15.5,3.3,Soybean
31,18,16,4.32,18.3,3.0,Cotton
24,20,10,3.6,16.5,4.5,Cotton
28,23,31,4.57,20.0,1.4,Soybean
30,10,18,3.86,15.6,4.0,Maize
33,17,37,4.89,19.8,2.1,Wheat
27,18,32,4.24,14.2,3.7,Soybean
44,24,9,5.78,24.3,4.5,Soybean
23,12,40,3.7,12.1,4.8,Maize
35,22,31,5.22,22.1,1.8,Maize
37,11,34,4.93,17.7,4.7,Soybean
12,14,15,2.2,11.2,1.7,Cotton
15,15,9,2.43,14.8,3.9,Cotton
18,28,34,3.88,14.2,3.1,Maize
50,9,31,6.07,22.2,1.6,Rice
31,26,19,4.78,16.1,1.9,Rice
26,18,21,3.92,21.7,2.9,Maize
12,27,15,2.85,18.7,4.2,Soybean
17,29,9,3.33,13.4,3.6,Maize
28,26,16,4.42,16.4,4.7,Wheat
26,10,39,3.88,16.7,4.3,Wheat
15,22,17,2.94,14.0,4.9,Maize
36,18,40,5.3,19.2,4.4,Wheat
21,13,30,3.35,11.7,4.8,Cotton
48,15,36,6.27,22.3,4.5,Wheat
33,19,10,4.45,15.6,1.3,Soybean
